Experiment Name,Well Name,Total Nuclei,Cluster Positive Nuclei,Percent Nuclei Cluster Positive,Number of Clusters,Mean Nuclei Per Cluster,Mean Cluster Size (um^2),Mean Cluster Intensity,Mean Cluster Perimeter (um^2),Mean Clusetr Convex Hull (um^2),Mean Cluster Perimeter to Convex Hull Ratio
110520_proxOrg_FFU,F01,19627,238,1.2275,22,10.8182,7254.0073,657.7652,429.0957,328.3558,0.7652
,,,,,,,,,,,
110520_proxOrg_FFU,F02,18340,165,0.9078,24,6.875,6512.7593,673.9084,413.2428,326.1773,0.7893
,,,,,,,,,,,
110520_proxOrg_FFU,F03,21229,218,1.0376,35,6.2286,5144.4919,647.3548,341.1634,276.1665,0.8095
,,,,,,,,,,,
110520_proxOrg_FFU,F04,19722,86,0.438,21,4.0952,3190.0108,663.3523,268.3497,229.3316,0.8546
,,,,,,,,,,,
110520_proxOrg_FFU,F05,22135,194,0.8842,28,6.9286,5024.1863,634.8642,329.954,268.3896,0.8134
,,,,,,,,,,,
110520_proxOrg_FFU,F06,21138,86,0.4085,23,3.7391,3362.0543,646.2113,259.1477,229.1416,0.8842
,,,,,,,,,,,
110520_proxOrg_FFU,F07,21586,258,1.2097,36,7.1667,7037.2115,707.3845,390.8838,308.8737,0.7902
,,,,,,,,,,,
110520_proxOrg_FFU,F08,22142,299,1.3689,49,6.102,4840.7619,628.63,329.932,260.8624,0.7907
,,,,,,,,,,,
110520_proxOrg_FFU,F09,22787,485,2.1747,50,9.7,9788.2388,624.0838,482.5004,365.3584,0.7572
,,,,,,,,,,,
110520_proxOrg_FFU,F10,23872,420,1.7909,43,9.7674,10274.4608,627.6968,467.3418,352.5798,0.7544
,,,,,,,,,,,
110520_proxOrg_FFU,F11,24647,263,1.0786,26,10.1154,8411.6468,642.9264,423.8457,323.4011,0.763
,,,,,,,,,,,
110520_proxOrg_FFU,F12,26085,58,0.2228,6,9.6667,8042.1773,636.3941,485.8218,307.8713,0.6337
,,,,,,,,,,,
110520_proxOrg_FFU,G01,22358,262,1.1857,11,23.8182,14552.328,641.4525,660.0716,446.4537,0.6764
,,,,,,,,,,,
110520_proxOrg_FFU,G02,21378,316,1.5003,34,9.2941,9148.9259,673.1055,424.2534,326.8102,0.7703
,,,,,,,,,,,
110520_proxOrg_FFU,G03,21257,160,0.7584,21,7.619,6571.3781,644.6026,403.1891,314.7505,0.7807
,,,,,,,,,,,
110520_proxOrg_FFU,G04,19446,119,0.6157,38,3.1316,4053.7003,694.0559,282.3426,244.8212,0.8671
,,,,,,,,,,,
110520_proxOrg_FFU,G05,18869,187,1.001,38,4.9211,4314.2305,664.1799,300.8956,249.0335,0.8276
,,,,,,,,,,,
110520_proxOrg_FFU,G06,17956,117,0.6559,26,4.5,4090.5625,643.7965,280.7608,231.5423,0.8247
,,,,,,,,,,,
110520_proxOrg_FFU,G07,19054,294,1.5672,36,8.1667,7001.4031,629.5647,442.6383,350.5345,0.7919
,,,,,,,,,,,
110520_proxOrg_FFU,G08,19582,394,2.0534,33,11.9394,10092.2377,621.6514,545.5219,378.6564,0.6941
,,,,,,,,,,,
110520_proxOrg_FFU,G09,20907,454,2.2197,56,8.1071,6859.6876,633.3645,439.7634,330.1358,0.7507
,,,,,,,,,,,
110520_proxOrg_FFU,G10,22794,415,1.8544,43,9.6512,8546.2707,634.8749,457.8991,342.2061,0.7473
,,,,,,,,,,,
110520_proxOrg_FFU,G11,24964,656,2.6987,47,13.9574,10662.628,603.2108,506.3248,366.8839,0.7246
,,,,,,,,,,,
110520_proxOrg_FFU,G12,25263,279,1.1167,22,12.6818,9322.4093,638.0581,422.9456,313.7176,0.7417
,,,,,,,,,,,
110520_proxOrg_FFU,H01,22535,352,1.5868,27,13.037,8585.1214,638.1125,430.0796,316.5126,0.7359
,,,,,,,,,,,
110520_proxOrg_FFU,H02,21168,278,1.3308,26,10.6923,7526.9727,641.2609,434.6697,332.8935,0.7659
,,,,,,,,,,,
110520_proxOrg_FFU,H03,19765,397,2.0498,31,12.8065,9170.8149,635.3253,515.7192,401.5069,0.7785
,,,,,,,,,,,
110520_proxOrg_FFU,H04,19493,107,0.5519,16,6.6875,4900.0713,627.8263,306.0299,260.4166,0.851
,,,,,,,,,,,
110520_proxOrg_FFU,H05,17549,206,1.1878,41,5.0244,4623.0284,648.5896,310.7516,252.1464,0.8114
,,,,,,,,,,,
110520_proxOrg_FFU,H06,17199,49,0.2857,20,2.45,2675.2618,622.8676,233.0864,207.8463,0.8917
,,,,,,,,,,,
110520_proxOrg_FFU,H07,16233,134,0.8323,29,4.6207,4162.4184,579.0383,276.1366,230.3268,0.8341
,,,,,,,,,,,
110520_proxOrg_FFU,H08,15970,296,1.8885,20,14.8,12527.8481,620.0048,526.5178,397.0382,0.7541
,,,,,,,,,,,
110520_proxOrg_FFU,H09,20085,203,1.021,21,9.6667,8844.7015,579.1442,455.9527,362.9522,0.796
,,,,,,,,,,,
110520_proxOrg_FFU,H10,21023,501,2.4413,20,25.05,14786.3579,617.5853,624.68,460.6672,0.7374
,,,,,,,,,,,
110520_proxOrg_FFU,H11,23359,409,1.7821,26,15.7308,10584.3255,626.9526,557.5198,397.2557,0.7125
,,,,,,,,,,,
110520_proxOrg_FFU,H12,25215,416,1.6775,29,14.3448,8043.6738,638.4975,422.3204,321.4861,0.7612
