Experiment Name,Well Name,Cluster ID,Cluster Area (um^2),Number of Nuclei,Cluster Mean Intenisty,Cluster Perimeter (um),Cluster Convex Hull (um),Cluster Convex Hull to Perimeter Ratio,Cluster Distance from Well Edge (um)
110520_proxOrg_FFU,A05,6,18990.0333,5,795.2562,773.1984,607.0617,0.7851,83.1488
,,,,,,,,,
110520_proxOrg_FFU,A05,7,4855.1128,12,536.4495,299.408,276.969,0.9251,22.2461
,,,,,,,,,
110520_proxOrg_FFU,A05,8,547.1686,1,835.0059,89.4744,88.208,0.9858,195.6221
,,,,,,,,,
110520_proxOrg_FFU,A05,9,2967.7307,0,533.4897,204.9556,196.8966,0.9607,522.8294
,,,,,,,,,
110520_proxOrg_FFU,A05,10,23447.0097,24,750.9116,804.7911,658.1252,0.8178,449.943
,,,,,,,,,
110520_proxOrg_FFU,A05,11,55667.5481,112,753.164,2037.9693,1161.9765,0.5702,198.4026
,,,,,,,,,
110520_proxOrg_FFU,A05,12,719.3357,0,522.8669,105.108,102.8285,0.9783,406.8908
,,,,,,,,,
110520_proxOrg_FFU,A05,13,993.7271,0,748.9253,126.6096,123.0272,0.9717,81.0825
,,,,,,,,,
110520_proxOrg_FFU,A05,14,5848.3019,1,751.0731,433.5,388.0371,0.8951,42.536
,,,,,,,,,
110520_proxOrg_FFU,A05,15,132.3535,1,521.3699,53.4502,54.3745,1.0173,3.4916
,,,,,,,,,
110520_proxOrg_FFU,A05,16,750.541,0,528.752,110.1166,105.5116,0.9582,29.3304
,,,,,,,,,
110520_proxOrg_FFU,A05,17,539.0983,0,536.8493,86.2887,84.7928,0.9827,310.6628
,,,,,,,,,
110520_proxOrg_FFU,A05,18,703.7331,1,518.4404,100.6332,98.147,0.9753,25.8978
,,,,,,,,,
110520_proxOrg_FFU,A05,19,500.8987,1,536.956,85.681,83.608,0.9758,121.0103
,,,,,,,,,
110520_proxOrg_FFU,A05,20,12397.6467,15,682.4319,974.864,612.3852,0.6282,150.7619
,,,,,,,,,
110520_proxOrg_FFU,A05,21,518.6534,2,523.7946,89.0447,87.4489,0.9821,75.5243
,,,,,,,,,
110520_proxOrg_FFU,A05,22,793.0448,0,520.8711,109.0056,105.8031,0.9706,40.4378
,,,,,,,,,
110520_proxOrg_FFU,A05,23,1164.8182,0,499.2406,138.6278,133.2661,0.9613,65.5454
,,,,,,,,,
110520_proxOrg_FFU,A05,24,1637.2017,0,506.2087,152.3647,148.2533,0.973,181.4966
,,,,,,,,,
110520_proxOrg_FFU,A05,25,504.1268,0,530.5891,92.6906,90.5587,0.977,19.6384
,,,,,,,,,
110520_proxOrg_FFU,A06,1,8327.5084,12,835.3664,496.1387,409.4241,0.8252,204.5397
,,,,,,,,,
110520_proxOrg_FFU,A06,2,1768.4791,3,807.5762,165.5245,159.0632,0.961,112.9725
,,,,,,,,,
110520_proxOrg_FFU,A06,3,15152.3206,28,800.1562,635.5827,510.2989,0.8029,244.4316
,,,,,,,,,
110520_proxOrg_FFU,A06,4,23784.3496,25,702.083,1530.8243,938.0351,0.6128,403.0635
,,,,,,,,,
110520_proxOrg_FFU,A06,5,998.0313,1,550.3008,141.9177,134.9205,0.9507,403.9813
,,,,,,,,,
110520_proxOrg_FFU,A06,6,1091.1091,2,717.9152,137.6947,133.657,0.9707,444.7404
,,,,,,,,,
110520_proxOrg_FFU,A06,7,11786.4534,22,749.285,816.4965,559.1469,0.6848,463.3148
,,,,,,,,,
110520_proxOrg_FFU,A06,8,1757.7187,2,761.3119,161.5964,155.8292,0.9643,416.266
,,,,,,,,,
110520_proxOrg_FFU,A06,9,526.1858,3,721.5184,86.7183,85.4422,0.9853,588.4403
,,,,,,,,,
110520_proxOrg_FFU,A06,10,517.5774,0,508.5821,92.2304,89.9686,0.9755,89.2936
,,,,,,,,,
110520_proxOrg_FFU,A06,11,5055.2571,0,610.2498,332.4677,302.9656,0.9113,39.5326
,,,,,,,,,
110520_proxOrg_FFU,A06,12,10887.9563,2,681.048,651.4196,505.952,0.7767,39.2245
,,,,,,,,,
110520_proxOrg_FFU,A06,13,57673.2951,32,775.9499,1778.9306,1287.1316,0.7235,124.7731
,,,,,,,,,
110520_proxOrg_FFU,A06,14,1884.6919,0,538.7397,187.855,172.7692,0.9197,319.0962
,,,,,,,,,
110520_proxOrg_FFU,A06,15,522.9576,1,605.7397,86.037,84.5764,0.983,195.9529
,,,,,,,,,
110520_proxOrg_FFU,A06,16,3590.7605,3,807.9706,285.9228,242.5534,0.8483,36.8564
,,,,,,,,,
110520_proxOrg_FFU,A06,17,19609.835,18,645.5754,935.2298,703.5857,0.7523,352.5719
,,,,,,,,,
110520_proxOrg_FFU,A06,18,967.364,0,646.7714,144.2567,138.4637,0.9598,11.2268
,,,,,,,,,
110520_proxOrg_FFU,A06,19,8862.8405,10,758.6469,519.6412,426.7225,0.8212,346.9129
,,,,,,,,,
110520_proxOrg_FFU,A06,20,6173.8053,3,565.5048,423.0099,381.0956,0.9009,167.2223
,,,,,,,,,
110520_proxOrg_FFU,A06,21,1717.905,2,714.5681,173.0807,167.1992,0.966,201.2146
,,,,,,,,,
110520_proxOrg_FFU,A06,22,1251.9778,1,744.6498,144.3178,139.9193,0.9695,273.9718
,,,,,,,,,
110520_proxOrg_FFU,A06,23,864.0637,2,678.6588,139.9905,131.2674,0.9377,199.5813
,,,,,,,,,
110520_proxOrg_FFU,A06,24,3708.0493,3,618.8558,303.4531,288.3209,0.9501,214.3271
,,,,,,,,,
110520_proxOrg_FFU,A06,25,504.6649,0,499.6706,101.2104,91.8465,0.9075,18.8254
,,,,,,,,,
110520_proxOrg_FFU,A06,26,2142.4046,0,534.3486,175.585,168.3209,0.9586,105.4278
,,,,,,,,,
110520_proxOrg_FFU,A06,27,214.1329,0,528.7412,85.8284,76.3396,0.8894,3.8573
,,,,,,,,,
110520_proxOrg_FFU,A06,28,31445.2484,35,685.3033,1345.2704,893.9445,0.6645,611.9703
,,,,,,,,,
110520_proxOrg_FFU,A06,29,2071.9237,2,736.2005,176.5181,171.162,0.9697,80.5436
,,,,,,,,,
110520_proxOrg_FFU,A06,30,3838.7888,5,804.436,316.6866,291.6118,0.9208,194.4554
,,,,,,,,,
110520_proxOrg_FFU,A06,31,552.5489,1,561.4946,88.3633,87.1166,0.9859,102.281
,,,,,,,,,
110520_proxOrg_FFU,A06,32,4597.4001,7,718.2078,288.0585,272.2784,0.9452,149.6908
,,,,,,,,,
110520_proxOrg_FFU,A06,33,1558.1124,1,797.702,147.89,144.3105,0.9758,38.9437
,,,,,,,,,
110520_proxOrg_FFU,A06,34,1147.6015,0,537.9001,187.6464,164.5888,0.8771,9.8116
,,,,,,,,,
110520_proxOrg_FFU,A06,35,2913.9285,0,514.9633,205.1335,196.0548,0.9557,99.0235
,,,,,,,,,
110520_proxOrg_FFU,A06,36,783.8984,1,497.5285,120.1034,117.123,0.9752,13.0182
,,,,,,,,,
110520_proxOrg_FFU,A06,37,4316.5525,8,789.8062,290.1764,269.9789,0.9304,39.3249
,,,,,,,,,
110520_proxOrg_FFU,A06,38,2282.8284,1,693.1369,229.5997,213.3889,0.9294,131.6509
,,,,,,,,,
110520_proxOrg_FFU,A06,39,2047.7127,2,745.7218,188.6406,182.4958,0.9674,198.9363
,,,,,,,,,
110520_proxOrg_FFU,A06,40,532.642,0,540.6687,95.594,95.0673,0.9945,8.1529
,,,,,,,,,
110520_proxOrg_FFU,A07,1,59842.6008,78,754.7026,1928.1707,1118.3114,0.58,284.2443
,,,,,,,,,
110520_proxOrg_FFU,A07,2,3230.8236,3,739.6919,302.5937,285.6477,0.944,110.1492
,,,,,,,,,
110520_proxOrg_FFU,A07,3,22158.4464,12,760.4328,1036.2442,723.9122,0.6986,122.8795
,,,,,,,,,
110520_proxOrg_FFU,A07,4,20962.4229,29,861.0169,768.1898,619.6604,0.8067,53.5747
,,,,,,,,,
110520_proxOrg_FFU,A07,5,505.2029,1,536.5985,82.747,81.7253,0.9877,15.1347
,,,,,,,,,
110520_proxOrg_FFU,A07,6,1712.5248,3,623.2146,182.3124,174.8431,0.959,144.1992
,,,,,,,,,
110520_proxOrg_FFU,A07,7,62521.9516,138,732.6988,1537.3253,1063.4176,0.6917,117.8833
,,,,,,,,,
110520_proxOrg_FFU,A07,8,888.2747,1,614.9788,134.1963,130.0799,0.9693,820.5669
,,,,,,,,,
110520_proxOrg_FFU,A07,9,59245.3961,78,682.7132,1990.3797,1143.9681,0.5747,657.7683
,,,,,,,,,
110520_proxOrg_FFU,A07,10,1066.3601,1,623.2392,126.7138,123.5096,0.9747,728.0195
,,,,,,,,,
110520_proxOrg_FFU,A07,11,2535.6989,7,525.7982,199.3393,190.6202,0.9563,26.8552
,,,,,,,,,
110520_proxOrg_FFU,A07,12,812.4136,0,527.8715,108.2937,105.6056,0.9752,229.9705
,,,,,,,,,
110520_proxOrg_FFU,A07,13,1270.2705,1,525.8742,163.2108,150.2925,0.9208,54.1759
,,,,,,,,,
110520_proxOrg_FFU,A07,14,61794.0075,68,727.6499,1865.6362,1173.7141,0.6291,288.0199
,,,,,,,,,
110520_proxOrg_FFU,A07,15,28295.1281,20,538.6808,648.356,616.4354,0.9508,84.6684
,,,,,,,,,
110520_proxOrg_FFU,A07,16,20279.6727,39,704.9687,1280.5876,819.9169,0.6403,640.4571
,,,,,,,,,
110520_proxOrg_FFU,A07,17,617.1115,0,520.5458,103.7147,99.9009,0.9632,74.7316
,,,,,,,,,
110520_proxOrg_FFU,A07,18,4778.1756,5,695.4219,383.0576,328.4438,0.8574,234.2921
,,,,,,,,,
110520_proxOrg_FFU,A07,19,2090.2164,1,668.2981,174.7689,170.5813,0.976,215.0923
,,,,,,,,,
110520_proxOrg_FFU,A07,20,575.6838,1,526.628,89.2227,87.8471,0.9846,18.7096
,,,,,,,,,
110520_proxOrg_FFU,A07,21,625.1819,1,513.6093,95.1949,93.5858,0.9831,11.7574
,,,,,,,,,
110520_proxOrg_FFU,A07,22,560.0812,0,527.0173,97.3127,96.428,0.9909,8.8104
,,,,,,,,,
110520_proxOrg_FFU,A07,23,547.1686,1,520.1278,85.681,85.0221,0.9923,26.9439
,,,,,,,,,
